#Data tag : 24v2 , Norm tag: composite
#+--------------+-------------------+------+------+----------------+---------------+
#  run:fill       time                nls    ncms   delivered(/fb)   recorded(/fb)  
#+--------------+-------------------+------+------+----------------+---------------+
  396988:11069   09/14/25 12:30:10   1710   1710   0.835115966      0.783382065    
  396999:11071   09/15/25 09:57:48   394    394    0.186471847      0.173199664    
  397021:11072   09/15/25 18:50:01   234    234    0.115560473      0.107508673    
  397031:11076   09/16/25 06:58:53   61     61     0.028775367      0.026226822    
  397032:11076   09/16/25 07:25:11   88     88     0.044273796      0.037293983    
  397033:11076   09/16/25 08:00:32   1845   1845   0.893805879      0.835355504    
  397049:11077   09/16/25 21:56:10   113    113    0.044725889      0.038309936    
  397050:11077   09/16/25 22:42:41   681    681    0.346723930      0.319968921    
  397051:11077   09/17/25 03:11:07   41     41     0.020885603      0.017946130    
  397052:11077   09/17/25 03:42:11   2      2      0.001019783      0.000928842    
  397097:11079   09/17/25 15:36:57   444    444    0.211820375      0.190453873    
  397098:11079   09/17/25 18:32:53   658    658    0.337553319      0.309333193    
  397106:11081   09/18/25 01:45:04   429    429    0.204030027      0.184623196    
  397186:11085   09/18/25 22:44:28   443    443    0.213362942      0.187909269    
  397187:11085   09/19/25 01:39:40   6      6      0.003076125      0.000871656    
  397189:11085   09/19/25 01:48:55   85     85     0.043366050      0.035423407    
  397190:11085   09/19/25 02:29:58   87     87     0.044317938      0.035712021    
  397191:11085   09/19/25 03:23:18   7      7      0.003593660      0.002230670    
  397192:11085   09/19/25 03:29:33   197    197    0.100453195      0.092656486    
  397207:11086   09/19/25 07:02:47   42     42     0.021041580      0.016015365    
  397208:11086   09/19/25 07:22:16   52     52     0.026214584      0.023440064    
  397209:11086   09/19/25 07:45:02   1149   1149   0.581197781      0.542268972    
  397226:11088   09/19/25 21:42:19   1803   1803   0.889022811      0.817734018    
  397227:11088   09/20/25 09:27:06   318    318    0.117920824      0.112201720    
  397243:11089   09/20/25 13:23:05   117    117    0.046699067      0.044253390    
  397246:11090   09/20/25 16:25:11   439    439    0.221104148      0.201042745    
  397249:11091   09/20/25 21:41:30   206    206    0.089237906      0.081728146    
  397253:11092   09/21/25 01:09:12   1054   1054   0.533118335      0.474308177    
  397254:11092   09/21/25 08:04:07   48     48     0.024426601      0.018553675    
  397255:11092   09/21/25 08:28:58   223    223    0.113136223      0.099214436    
  397258:11092   09/21/25 10:17:35   374    374    0.168422733      0.156686754    
  397261:11092   09/21/25 12:55:51   50     50     0.019407442      0.016530393    
  397262:11092   09/21/25 13:21:18   96     96     0.036150411      0.033013195    
  397292:11096   09/21/25 23:04:50   1244   1244   0.619668791      0.559364245    
  397293:11096   09/22/25 07:11:27   559    559    0.257615631      0.234822266    
  397294:11096   09/22/25 10:53:51   78     78     0.031033033      0.029481836    
  397332:11098   09/22/25 17:26:40   1533   1533   0.770297410      0.721255750    
  397346:11098   09/23/25 03:30:09   51     51     0.023055185      0.018800365    
  397347:11098   09/23/25 03:51:37   283    282    0.120612931      0.108422210    
  397348:11098   09/23/25 05:43:49   244    244    0.088507672      0.079670107    
  397368:11101   09/23/25 10:56:48   113    113    0.043780110      0.035247571    
  397370:11101   09/23/25 11:45:40   60     60     0.030280509      0.023099101    
  397371:11101   09/23/25 12:12:27   68     68     0.034522918      0.028779485    
  397373:11101   09/23/25 12:41:37   96     96     0.048971313      0.043268238    
  397377:11101   09/23/25 13:21:55   1644   1644   0.774817179      0.729816751    
